feature,perm_importance,perm_importance_std
cat__run_treatment_persona_baseline_coop_adv,0.0,0.0
cat__run_treatment_persona_baseline_neutral,0.0,0.0
cat__run_treatment_persona_baseline_risk_averse,0.0,0.0
cat__lane_lane_a,0.0,0.0
cat__lane_lane_b,0.0,0.0
cat__model_google/gemini-3-flash-preview,0.0,0.0
cat__model_google/gemini-3.1-flash-lite-preview,0.0,0.0
cat__model_google/gemini-3.5-flash-lite,0.0,0.0
cat__model_qwen2.5:7b-instruct-fp16,0.0,0.0
cat__run_phase_pilot,0.0,0.0
cat__persona_condition_R-,0.0,0.0
cat__persona_condition_R0,0.0,0.0
cat__persona_condition_S_AA,0.0,0.0
cat__persona_condition_S_AC,0.0,0.0
cat__persona_condition_none,0.0,0.0
cat__seat_persona_role_,0.0,0.0
cat__seat_persona_role_adversarial,0.0,0.0
cat__seat_persona_role_cooperative,0.0,0.0
cat__seat_persona_role_neutral,0.0,0.0
cat__seat_persona_role_risk-averse,0.0,0.0
cat__prompt_version_ai-race-fairgame-v3,0.0,0.0
cat__prompt_template_hash_0028312bd90d,0.0,0.0
cat__prompt_template_hash_006d54d49369,0.0,0.0
cat__prompt_template_hash_007b9b992346,0.0,0.0
cat__prompt_template_hash_008ac547771f,0.0,0.0
cat__prompt_template_hash_00a36dae77ee,0.0,0.0
cat__prompt_template_hash_00c0ec25ba37,0.0,0.0
cat__prompt_template_hash_00d106c6b4a9,0.0,0.0
cat__prompt_template_hash_01081d936be9,0.0,0.0
cat__prompt_template_hash_01102657da24,0.0,0.0
cat__prompt_template_hash_0134e61628dc,0.0,0.0
cat__prompt_template_hash_016d2efc8335,0.0,0.0
cat__prompt_template_hash_01c46afdc3cc,0.0,0.0
cat__prompt_template_hash_020a055db111,0.0,0.0
cat__prompt_template_hash_0242ee67d810,0.0,0.0
cat__prompt_template_hash_02631d6ba991,0.0,0.0
cat__prompt_template_hash_02906ee1863c,0.0,0.0
cat__prompt_template_hash_029965bcdeb3,0.0,0.0
cat__prompt_template_hash_029c414de991,0.0,0.0
cat__prompt_template_hash_02a003a7785f,0.0,0.0
cat__prompt_template_hash_02f1d2b757d4,0.0,0.0
cat__prompt_template_hash_02f63db74bf7,0.0,0.0
cat__prompt_template_hash_031e74fc4be8,0.0,0.0
cat__prompt_template_hash_03277ff2e27d,0.0,0.0
cat__prompt_template_hash_0333c5c32c4c,0.0,0.0
cat__prompt_template_hash_036ea6580da8,0.0,0.0
cat__prompt_template_hash_037e55fd6e43,0.0,0.0
cat__prompt_template_hash_03871ec89fb9,0.0,0.0
cat__prompt_template_hash_038c6d81baef,0.0,0.0
cat__prompt_template_hash_0417ae5883b4,0.0,0.0
cat__prompt_template_hash_042f9ba27088,0.0,0.0
cat__prompt_template_hash_043871a3ad0d,0.0,0.0
cat__prompt_template_hash_04808f07d911,0.0,0.0
cat__prompt_template_hash_04a299732224,0.0,0.0
cat__prompt_template_hash_04ac5d413129,0.0,0.0
cat__prompt_template_hash_04f10360df49,0.0,0.0
cat__prompt_template_hash_05111130cb76,0.0,0.0
cat__prompt_template_hash_05621cb31b56,0.0,0.0
cat__prompt_template_hash_0570c7d47aeb,0.0,0.0
cat__prompt_template_hash_059dc1c73aed,0.0,0.0
cat__prompt_template_hash_05eb878b401e,0.0,0.0
cat__prompt_template_hash_066eaf52624b,0.0,0.0
cat__prompt_template_hash_06729b1b3020,0.0,0.0
cat__prompt_template_hash_068e09b1f946,0.0,0.0
cat__prompt_template_hash_069b1f46e9e9,0.0,0.0
cat__prompt_template_hash_06dbffc9da80,0.0,0.0
cat__prompt_template_hash_06f627c48f1c,0.0,0.0
cat__prompt_template_hash_074b45aac099,0.0,0.0
cat__prompt_template_hash_075bb3619c94,0.0,0.0
cat__prompt_template_hash_0783a1fd4990,0.0,0.0
cat__prompt_template_hash_0790036962ff,0.0,0.0
cat__prompt_template_hash_0790e9f5ded5,0.0,0.0
cat__prompt_template_hash_07989997c68b,0.0,0.0
cat__prompt_template_hash_07b8fa509260,0.0,0.0
cat__prompt_template_hash_07e7a40f9aac,0.0,0.0
cat__prompt_template_hash_07fac1a0ad28,0.0,0.0
cat__prompt_template_hash_0818ff7ef420,0.0,0.0
cat__prompt_template_hash_0837e7336be6,0.0,0.0
cat__prompt_template_hash_085cf8596f5f,0.0,0.0
cat__prompt_template_hash_086a6ec639bd,0.0,0.0
cat__prompt_template_hash_087f443aa9ad,0.0,0.0
cat__prompt_template_hash_08ad32abb8dd,0.0,0.0
cat__prompt_template_hash_08e86262c3cf,0.0,0.0
cat__prompt_template_hash_091a08c91406,0.0,0.0
cat__prompt_template_hash_09289b8cdc0e,0.0,0.0
cat__prompt_template_hash_094c9a8117d2,0.0,0.0
cat__prompt_template_hash_09560e3a48ed,0.0,0.0
cat__prompt_template_hash_09610d28c17a,0.0,0.0
cat__prompt_template_hash_0969e4d2e900,0.0,0.0
cat__prompt_template_hash_096a20f374cb,0.0,0.0
cat__prompt_template_hash_0a37efbfa231,0.0,0.0
cat__prompt_template_hash_0a766dc541be,0.0,0.0
cat__prompt_template_hash_0ac2e171d43a,0.0,0.0
cat__prompt_template_hash_0af90240ced9,0.0,0.0
cat__prompt_template_hash_0b145cfe9737,0.0,0.0
cat__prompt_template_hash_0b49e2ea8d3f,0.0,0.0
cat__prompt_template_hash_0b729e1878f6,0.0,0.0
cat__prompt_template_hash_0bb9a7d4cfb2,0.0,0.0
cat__prompt_template_hash_0be8b42cd23e,0.0,0.0
cat__prompt_template_hash_0c230dd49822,0.0,0.0
cat__prompt_template_hash_0c3162d6f0d2,0.0,0.0
cat__prompt_template_hash_0c3a94bed679,0.0,0.0
cat__prompt_template_hash_0c3f65d104bd,0.0,0.0
cat__prompt_template_hash_0c7b9e5aba73,0.0,0.0
cat__prompt_template_hash_0c8682a5b026,0.0,0.0
cat__prompt_template_hash_0c967ab4ba9d,0.0,0.0
cat__prompt_template_hash_0cdf3813a5a4,0.0,0.0
cat__prompt_template_hash_0d3a870f4b50,0.0,0.0
cat__prompt_template_hash_0d5e40ab4eb4,0.0,0.0
cat__prompt_template_hash_0d9a009ca11d,0.0,0.0
cat__prompt_template_hash_0db4ce2ed6c3,0.0,0.0
cat__prompt_template_hash_0e007af56729,0.0,0.0
cat__prompt_template_hash_0e4a9d71e081,0.0,0.0
cat__prompt_template_hash_0e59b2acb881,0.0,0.0
cat__prompt_template_hash_0ea8b4db3998,0.0,0.0
cat__prompt_template_hash_0f0fa8827430,0.0,0.0
cat__prompt_template_hash_0f108e5306ee,0.0,0.0
cat__prompt_template_hash_0f9abae9a6a0,0.0,0.0
cat__prompt_template_hash_0f9c5f91d789,0.0,0.0
cat__prompt_template_hash_0fabe96291e6,0.0,0.0
cat__prompt_template_hash_0faf1e7b92ff,0.0,0.0
cat__prompt_template_hash_0fcac34c6bdb,0.0,0.0
cat__prompt_template_hash_0fd63fc8bb20,0.0,0.0
cat__prompt_template_hash_107ef73219d5,0.0,0.0
cat__prompt_template_hash_1084db12e523,0.0,0.0
cat__prompt_template_hash_10a109a7ff6b,0.0,0.0
cat__prompt_template_hash_10a996b171a4,0.0,0.0
cat__prompt_template_hash_111f2f1e0caf,0.0,0.0
cat__prompt_template_hash_1121b5bd8b38,0.0,0.0
cat__prompt_template_hash_1149ca1c1dcb,0.0,0.0
cat__prompt_template_hash_11bcc0f8aaf0,0.0,0.0
cat__prompt_template_hash_11bd62fa8603,0.0,0.0
cat__prompt_template_hash_11da53550423,0.0,0.0
cat__prompt_template_hash_1207d7c455e1,0.0,0.0
cat__prompt_template_hash_120dbf23d47e,0.0,0.0
cat__prompt_template_hash_12239a838b20,0.0,0.0
cat__prompt_template_hash_123d6149b6e1,0.0,0.0
cat__prompt_template_hash_12791fd6003a,0.0,0.0
cat__prompt_template_hash_12981d40788a,0.0,0.0
cat__prompt_template_hash_12abc9a3327b,0.0,0.0
cat__prompt_template_hash_12e1e94e9dd5,0.0,0.0
cat__prompt_template_hash_12f1e0e58d3b,0.0,0.0
cat__prompt_template_hash_130259b30cc2,0.0,0.0
cat__prompt_template_hash_134b41f96b38,0.0,0.0
cat__prompt_template_hash_135c5911c072,0.0,0.0
cat__prompt_template_hash_13b9e6d40171,0.0,0.0
cat__prompt_template_hash_13bba46f7052,0.0,0.0
cat__prompt_template_hash_13e565fa20a0,0.0,0.0
cat__prompt_template_hash_1451c7e894e3,0.0,0.0
cat__prompt_template_hash_1462f8c421c7,0.0,0.0
cat__prompt_template_hash_14c00f9ee415,0.0,0.0
cat__prompt_template_hash_14e23c9cc69b,0.0,0.0
cat__prompt_template_hash_153499a7fa44,0.0,0.0
cat__prompt_template_hash_155d033dbdde,0.0,0.0
cat__prompt_template_hash_15788e74efcd,0.0,0.0
cat__prompt_template_hash_16300cf7f4e4,0.0,0.0
cat__prompt_template_hash_16378b5a7ee4,0.0,0.0
cat__prompt_template_hash_16422ca9e976,0.0,0.0
cat__prompt_template_hash_166e4c9e8935,0.0,0.0
cat__prompt_template_hash_16875fe10656,0.0,0.0
cat__prompt_template_hash_169c5373c7be,0.0,0.0
cat__prompt_template_hash_16a3fad492e4,0.0,0.0
cat__prompt_template_hash_16cc29e36e46,0.0,0.0
