model,model_label,max_private_risk,round,estimate,ci95_low,ci95_high,n_blocks,n_observations,n_players_at_risk
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,4,0.95,0.85,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,5,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,6,1.0,1.0,1.0,8,8,16
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,7,0.75,0.5625,0.9375,8,8,16
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,8,0.6428571428571429,0.5,0.7857142857142857,7,7,14
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,9,0.6666666666666666,0.3333333333333333,0.9166666666666666,6,6,12
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,10,0.875,0.625,1.0,4,4,8
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,11,0.8333333333333334,0.5,1.0,3,3,6
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,12,1.0,1.0,1.0,2,2,4
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,13,1.0,1.0,1.0,2,2,4
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,14,1.0,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,15,0.5,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,16,0.5,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,1,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,2,0.0,0.0,0.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,3,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,4,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,5,0.4,0.25,0.5,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,6,0.5625,0.5,0.6875,8,8,16
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,7,0.875,0.625,1.0,8,8,16
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,8,1.0,1.0,1.0,7,7,14
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,9,0.5833333333333334,0.25,0.9166666666666666,6,6,12
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,10,0.625,0.25,1.0,4,4,8
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,11,0.6666666666666666,0.5,1.0,3,3,6
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,12,0.75,0.5,1.0,2,2,4
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,13,0.75,0.5,1.0,2,2,4
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,14,1.0,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,15,0.5,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,16,0.5,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,1,1.0,1.0,1.0,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,2,1.0,1.0,1.0,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,3,0.75,0.6,0.9,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,4,0.8,0.65,0.95,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,5,0.95,0.85,1.0,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,6,0.625,0.5,0.8125,8,8,16
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,7,0.6875,0.5625,0.875,8,8,16
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,8,0.7857142857142857,0.6428571428571429,0.9285714285714286,7,7,14
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,9,0.75,0.5833333333333334,0.9166666666666666,6,6,12
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,10,0.625,0.5,0.875,4,4,8
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,11,0.6666666666666666,0.5,1.0,3,3,6
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,12,0.75,0.5,1.0,2,2,4
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,13,1.0,1.0,1.0,2,2,4
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,14,1.0,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,15,1.0,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,16,1.0,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,1,1.0,1.0,1.0,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,2,0.65,0.45,0.85,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,3,0.75,0.6,0.9,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,4,0.6,0.35,0.85,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,5,0.7,0.55,0.85,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,6,0.625,0.5,0.75,8,8,16
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,7,0.75,0.5625,0.9375,8,8,16
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,8,0.5714285714285714,0.35714285714285715,0.7857142857142857,7,7,14
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,9,0.75,0.5833333333333334,0.9166666666666666,6,6,12
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,10,0.75,0.5,1.0,4,4,8
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,11,0.6666666666666666,0.5,1.0,3,3,6
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,12,0.25,0.0,0.5,2,2,4
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,13,0.5,0.5,0.5,2,2,4
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,14,0.0,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,15,0.5,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,16,0.5,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,1,1.0,1.0,1.0,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,2,0.35,0.15,0.55,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,3,0.5,0.35,0.65,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,4,0.45,0.3,0.6,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,5,0.65,0.45,0.85,10,10,20
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,6,0.5625,0.3125,0.8125,8,8,16
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,7,0.8125,0.625,1.0,8,8,16
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,8,0.6428571428571429,0.5,0.7857142857142857,7,7,14
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,9,0.9166666666666666,0.75,1.0,6,6,12
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,10,0.5,0.125,0.875,4,4,8
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,11,0.6666666666666666,0.5,1.0,3,3,6
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,12,0.5,0.5,0.5,2,2,4
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,13,0.5,0.5,0.5,2,2,4
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,14,0.5,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,15,0.5,,,1,1,2
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,16,0.5,,,1,1,2
gpt-5-nano,GPT-5 nano,0.1,1,0.0,0.0,0.0,10,10,20
gpt-5-nano,GPT-5 nano,0.1,2,0.3,0.1,0.5,10,10,20
gpt-5-nano,GPT-5 nano,0.1,3,0.15,0.0,0.4,10,10,20
gpt-5-nano,GPT-5 nano,0.1,4,0.15,0.0,0.3,10,10,20
gpt-5-nano,GPT-5 nano,0.1,5,0.25,0.05,0.45,10,10,20
gpt-5-nano,GPT-5 nano,0.1,6,0.0,0.0,0.0,8,8,16
gpt-5-nano,GPT-5 nano,0.1,7,0.125,0.0,0.3125,8,8,16
gpt-5-nano,GPT-5 nano,0.1,8,0.0,0.0,0.0,7,7,14
gpt-5-nano,GPT-5 nano,0.1,9,0.0,0.0,0.0,6,6,12
gpt-5-nano,GPT-5 nano,0.1,10,0.25,0.0,0.5,4,4,8
gpt-5-nano,GPT-5 nano,0.1,11,0.0,0.0,0.0,3,3,6
gpt-5-nano,GPT-5 nano,0.1,12,0.25,0.0,0.5,2,2,4
gpt-5-nano,GPT-5 nano,0.1,13,0.0,0.0,0.0,2,2,4
gpt-5-nano,GPT-5 nano,0.1,14,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.1,15,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.1,16,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.6,1,0.0,0.0,0.0,10,10,20
gpt-5-nano,GPT-5 nano,0.6,2,0.4,0.2,0.6,10,10,20
gpt-5-nano,GPT-5 nano,0.6,3,0.1,0.0,0.25,10,10,20
gpt-5-nano,GPT-5 nano,0.6,4,0.1,0.0,0.25,10,10,20
gpt-5-nano,GPT-5 nano,0.6,5,0.2,0.05,0.35,10,10,20
gpt-5-nano,GPT-5 nano,0.6,6,0.125,0.0,0.3125,8,8,16
gpt-5-nano,GPT-5 nano,0.6,7,0.0,0.0,0.0,8,8,16
gpt-5-nano,GPT-5 nano,0.6,8,0.21428571428571427,0.07142857142857142,0.35714285714285715,7,7,14
gpt-5-nano,GPT-5 nano,0.6,9,0.0,0.0,0.0,6,6,12
gpt-5-nano,GPT-5 nano,0.6,10,0.125,0.0,0.375,4,4,8
gpt-5-nano,GPT-5 nano,0.6,11,0.0,0.0,0.0,3,3,6
gpt-5-nano,GPT-5 nano,0.6,12,0.0,0.0,0.0,2,2,4
gpt-5-nano,GPT-5 nano,0.6,13,0.25,0.0,0.5,2,2,4
gpt-5-nano,GPT-5 nano,0.6,14,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.6,15,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.6,16,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.9,1,0.0,0.0,0.0,10,10,20
gpt-5-nano,GPT-5 nano,0.9,2,0.55,0.3487500000000004,0.75,10,10,20
gpt-5-nano,GPT-5 nano,0.9,3,0.15,0.0,0.35,10,10,20
gpt-5-nano,GPT-5 nano,0.9,4,0.15,0.0,0.3,10,10,20
gpt-5-nano,GPT-5 nano,0.9,5,0.05,0.0,0.15,10,10,20
gpt-5-nano,GPT-5 nano,0.9,6,0.125,0.0,0.3125,8,8,16
gpt-5-nano,GPT-5 nano,0.9,7,0.0625,0.0,0.1875,8,8,16
gpt-5-nano,GPT-5 nano,0.9,8,0.14285714285714285,0.0,0.2857142857142857,7,7,14
gpt-5-nano,GPT-5 nano,0.9,9,0.0,0.0,0.0,6,6,12
gpt-5-nano,GPT-5 nano,0.9,10,0.125,0.0,0.375,4,4,8
gpt-5-nano,GPT-5 nano,0.9,11,0.0,0.0,0.0,3,3,6
gpt-5-nano,GPT-5 nano,0.9,12,0.0,0.0,0.0,2,2,4
gpt-5-nano,GPT-5 nano,0.9,13,0.0,0.0,0.0,2,2,4
gpt-5-nano,GPT-5 nano,0.9,14,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.9,15,0.0,,,1,1,2
gpt-5-nano,GPT-5 nano,0.9,16,0.0,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.1,1,0.4,0.2,0.6,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.1,2,0.7,0.45,0.95,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.1,3,0.7,0.5,0.9,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.1,4,0.45,0.3,0.6,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.1,5,0.65,0.5,0.8,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.1,6,0.5,0.25,0.75,8,8,16
gpt-5.4-nano,GPT-5.4 nano,0.1,7,0.5625,0.375,0.75,8,8,16
gpt-5.4-nano,GPT-5.4 nano,0.1,8,0.6428571428571429,0.35714285714285715,0.8571428571428571,7,7,14
gpt-5.4-nano,GPT-5.4 nano,0.1,9,0.6666666666666666,0.3333333333333333,0.9166666666666666,6,6,12
gpt-5.4-nano,GPT-5.4 nano,0.1,10,0.375,0.125,0.5,4,4,8
gpt-5.4-nano,GPT-5.4 nano,0.1,11,0.8333333333333334,0.5,1.0,3,3,6
gpt-5.4-nano,GPT-5.4 nano,0.1,12,0.5,0.5,0.5,2,2,4
gpt-5.4-nano,GPT-5.4 nano,0.1,13,1.0,1.0,1.0,2,2,4
gpt-5.4-nano,GPT-5.4 nano,0.1,14,1.0,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.1,15,0.0,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.1,16,0.5,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.6,1,0.6,0.35,0.8,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.6,2,0.35,0.15,0.55,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.6,3,0.6,0.35,0.8,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.6,4,0.55,0.35,0.75,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.6,5,0.45,0.3,0.6,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.6,6,0.5,0.25,0.75,8,8,16
gpt-5.4-nano,GPT-5.4 nano,0.6,7,0.375,0.125,0.625,8,8,16
gpt-5.4-nano,GPT-5.4 nano,0.6,8,0.42857142857142855,0.2857142857142857,0.5,7,7,14
gpt-5.4-nano,GPT-5.4 nano,0.6,9,0.5833333333333334,0.3333333333333333,0.8333333333333334,6,6,12
gpt-5.4-nano,GPT-5.4 nano,0.6,10,0.5,0.125,0.875,4,4,8
gpt-5.4-nano,GPT-5.4 nano,0.6,11,0.5,0.0,1.0,3,3,6
gpt-5.4-nano,GPT-5.4 nano,0.6,12,0.5,0.5,0.5,2,2,4
gpt-5.4-nano,GPT-5.4 nano,0.6,13,0.75,0.5,1.0,2,2,4
gpt-5.4-nano,GPT-5.4 nano,0.6,14,0.0,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.6,15,0.0,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.6,16,0.5,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.9,1,0.3,0.1,0.5,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.9,2,0.55,0.35,0.75,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.9,3,0.45,0.25,0.65,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.9,4,0.7,0.55,0.85,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.9,5,0.6,0.4,0.8,10,10,20
gpt-5.4-nano,GPT-5.4 nano,0.9,6,0.375,0.1875,0.5,8,8,16
gpt-5.4-nano,GPT-5.4 nano,0.9,7,0.9375,0.8125,1.0,8,8,16
gpt-5.4-nano,GPT-5.4 nano,0.9,8,0.6428571428571429,0.5,0.7857142857142857,7,7,14
gpt-5.4-nano,GPT-5.4 nano,0.9,9,0.75,0.4166666666666667,1.0,6,6,12
gpt-5.4-nano,GPT-5.4 nano,0.9,10,0.5,0.125,0.875,4,4,8
gpt-5.4-nano,GPT-5.4 nano,0.9,11,0.5,0.5,0.5,3,3,6
gpt-5.4-nano,GPT-5.4 nano,0.9,12,0.25,0.0,0.5,2,2,4
gpt-5.4-nano,GPT-5.4 nano,0.9,13,0.75,0.5,1.0,2,2,4
gpt-5.4-nano,GPT-5.4 nano,0.9,14,0.5,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.9,15,0.0,,,1,1,2
gpt-5.4-nano,GPT-5.4 nano,0.9,16,1.0,,,1,1,2
